epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,wa_anoisy_mean,wa_anoisy_std,wa_clean_mean,wa_clean_std,wa_vnoisy_mean,wa_vnoisy_std,epoch_time_s,peak_gpu_gib
111,0.935731,0.938515,0.202516,0.940503,0.780320,0.820175,0.425612,0.400973,0.113235,0.423875,0.134243,0.455653,0.131144,153.557,12.454
112,0.955850,0.931633,0.228521,0.935355,0.816934,0.787567,0.356482,0.357574,0.107832,0.375229,0.107352,0.414586,0.119386,154.846,12.454
113,0.932058,0.937322,5.799285,0.457475,0.052250,0.791953,0.555064,0.552545,0.300314,0.530933,0.238942,0.563574,0.236014,154.404,12.454
114,0.912117,0.941819,0.197727,0.940313,0.825515,0.825515,0.368374,0.378354,0.114070,0.384298,0.112282,0.415926,0.119668,153.438,12.454
115,0.923031,0.940259,0.199585,0.944508,0.754195,0.831808,0.404609,0.418844,0.111420,0.431054,0.107179,0.469182,0.114139,153.500,12.454
116,0.902784,0.940075,0.211172,0.939550,0.834477,0.801297,0.411315,0.390161,0.116085,0.433592,0.107300,0.469343,0.115030,153.819,12.454
117,0.901153,0.940901,0.196765,0.944889,0.823799,0.815789,0.462138,0.448274,0.110668,0.479539,0.113662,0.517699,0.105585,154.887,12.454
118,0.873650,0.940075,0.195455,0.943745,0.846110,0.815789,0.420515,0.421812,0.113183,0.444011,0.118265,0.468875,0.124382,154.406,12.454
119,0.882855,0.941360,0.180855,0.944508,0.845919,0.815980,0.430409,0.444239,0.119809,0.450245,0.116340,0.493102,0.126228,154.382,12.454
120,0.850738,0.945398,0.170455,0.948513,0.830473,0.824180,0.430920,0.415894,0.123551,0.455946,0.111266,0.466754,0.112388,152.136,12.454
121,0.868948,0.945948,0.187534,0.945080,0.826659,0.831236,0.412579,0.412768,0.114572,0.431589,0.111375,0.461207,0.112434,154.670,12.454
122,0.856342,0.944664,0.185542,0.947178,0.837338,0.831236,0.397717,0.413939,0.114740,0.420658,0.110970,0.448431,0.116927,155.175,12.454
123,0.895319,0.940167,0.229382,0.928871,0.819794,0.770786,0.421587,0.426183,0.111710,0.450165,0.110736,0.478384,0.106587,154.893,12.454
124,0.850990,0.943379,0.189161,0.945271,0.834287,0.828185,0.411184,0.410655,0.109487,0.431423,0.108074,0.457645,0.103800,153.461,12.454
125,0.843953,0.946040,0.177739,0.947750,0.851640,0.837719,0.409363,0.397139,0.120344,0.432301,0.117040,0.458952,0.113632,154.262,12.454
126,0.857533,0.942002,0.173710,0.947368,0.842868,0.830473,0.424231,0.431351,0.104554,0.453403,0.104092,0.471712,0.100254,155.801,12.454
127,0.807978,0.948977,0.186497,0.948513,0.843822,0.835622,0.392005,0.395655,0.123188,0.419191,0.124556,0.463242,0.129839,157.909,12.454
128,0.823767,0.943562,0.188078,0.945461,0.847445,0.817124,0.402405,0.383336,0.121811,0.421176,0.117751,0.465188,0.123309,155.939,12.454
129,0.803892,0.947967,0.181481,0.947941,0.852403,0.832952,0.383563,0.379401,0.117076,0.415845,0.108315,0.451442,0.111809,154.167,12.454
130,0.823566,0.949711,0.190878,0.945652,0.863082,0.834668,0.382484,0.356190,0.126127,0.400067,0.116097,0.431325,0.118753,157.908,12.454
131,0.793176,0.950262,0.172563,0.949466,0.851640,0.841152,0.386547,0.397175,0.126899,0.416044,0.127734,0.450615,0.125485,158.639,12.454
132,0.790741,0.948334,0.171201,0.950610,0.855072,0.835622,0.398839,0.389036,0.120940,0.418078,0.113622,0.458287,0.115914,156.491,12.454
133,0.781541,0.953290,0.170058,0.949657,0.851640,0.831617,0.450984,0.439430,0.117681,0.467391,0.113880,0.518718,0.116921,159.908,12.454
134,0.787007,0.949069,0.173031,0.950610,0.851259,0.844775,0.382138,0.383650,0.113392,0.405542,0.111878,0.438111,0.113684,155.626,12.454
135,0.785266,0.949619,0.187512,0.946034,0.845919,0.828375,0.402845,0.390937,0.115660,0.419539,0.113864,0.449122,0.116581,160.119,12.454
136,0.768429,0.954483,0.176991,0.950992,0.862319,0.841533,0.382517,0.371869,0.119655,0.407880,0.110970,0.441310,0.116691,158.681,12.454
137,0.774580,0.953565,0.184402,0.949085,0.859077,0.837338,0.359867,0.366467,0.111050,0.383081,0.110215,0.422024,0.116430,209.534,12.454
138,0.760213,0.953565,0.176855,0.950229,0.863272,0.845728,0.386239,0.374511,0.127098,0.413421,0.119386,0.445245,0.121570,214.770,12.454
139,0.769227,0.951087,0.175688,0.951373,0.855072,0.841342,0.391849,0.390972,0.116008,0.417750,0.110586,0.454657,0.114006,211.300,12.454
140,0.748747,0.951271,0.170916,0.952899,0.865751,0.842105,0.410519,0.406555,0.117499,0.434391,0.108426,0.472395,0.114495,212.590,12.454
141,0.749251,0.953932,0.166750,0.951945,0.866514,0.847254,0.401676,0.380778,0.128260,0.426482,0.117499,0.461621,0.119390,216.286,12.454
142,0.758925,0.953749,0.165351,0.951945,0.866514,0.844394,0.407520,0.411616,0.117784,0.438629,0.113250,0.475800,0.117218,213.041,12.454
143,0.744728,0.958980,0.169163,0.952326,0.862510,0.849542,0.359888,0.362776,0.124279,0.389129,0.122258,0.421591,0.126311,157.490,12.454
144,0.733687,0.954391,0.173675,0.950420,0.868802,0.837719,0.386797,0.386526,0.129584,0.421281,0.122583,0.458132,0.126261,157.013,12.454
145,0.747040,0.954024,0.173283,0.949847,0.860221,0.845919,0.390377,0.368757,0.121463,0.412827,0.117125,0.455546,0.121598,156.496,12.454
146,0.736493,0.954116,0.165357,0.953280,0.867086,0.844394,0.419690,0.410993,0.119268,0.442170,0.118840,0.475508,0.122933,217.618,12.454
147,0.707599,0.957144,0.178186,0.948513,0.860031,0.841724,0.388949,0.354184,0.126820,0.408103,0.121172,0.441346,0.129265,208.541,12.454
148,0.725418,0.957603,0.172221,0.950420,0.862891,0.848017,0.387747,0.392896,0.114440,0.416039,0.113214,0.454854,0.116838,218.712,12.454
149,0.727811,0.957419,0.161543,0.952517,0.864989,0.844394,0.435994,0.438844,0.123255,0.469679,0.119015,0.520539,0.120741,208.852,12.454
150,0.722252,0.955401,0.167287,0.950992,0.867849,0.846301,0.392365,0.394565,0.123731,0.428594,0.122069,0.460914,0.121454,216.305,12.454
151,0.719907,0.957787,0.164269,0.951945,0.867658,0.846491,0.396898,0.380943,0.123690,0.419579,0.122246,0.457728,0.129053,214.244,12.454
152,0.709046,0.960448,0.169365,0.953661,0.869947,0.849542,0.382354,0.364398,0.128025,0.408254,0.124968,0.449897,0.131645,155.993,12.454
153,0.698547,0.959071,0.168788,0.952517,0.869375,0.846491,0.387391,0.377830,0.125801,0.414028,0.126371,0.449395,0.129067,157.781,12.454
154,0.718005,0.956961,0.166737,0.952326,0.874333,0.847635,0.404045,0.391888,0.123805,0.434571,0.115075,0.475074,0.118594,178.902,12.454
155,0.710521,0.954116,0.174711,0.950420,0.869184,0.845538,0.371877,0.373838,0.120891,0.399042,0.120252,0.435205,0.127012,216.352,12.454
156,0.710508,0.956594,0.168723,0.953852,0.872044,0.846110,0.394561,0.390369,0.127574,0.419715,0.122829,0.468125,0.129913,181.712,12.454
157,0.693439,0.960264,0.169065,0.950420,0.871091,0.847445,0.383540,0.383746,0.129924,0.414887,0.127243,0.452603,0.133975,217.448,12.454
158,0.703756,0.958429,0.169506,0.953471,0.874905,0.848017,0.379343,0.376547,0.130740,0.406843,0.127583,0.451229,0.131914,217.088,12.454
159,0.704185,0.955676,0.168574,0.954043,0.872426,0.848589,0.388581,0.383619,0.123085,0.415225,0.117248,0.457563,0.121895,168.892,12.454
160,0.688780,0.958888,0.167971,0.951754,0.872235,0.846110,0.385807,0.382797,0.121958,0.412845,0.117924,0.454809,0.125245,190.717,12.454
161,0.696913,0.959347,0.169903,0.952708,0.875286,0.849542,0.381099,0.375186,0.120469,0.405178,0.117410,0.442649,0.124286,239.437,12.454
162,0.693417,0.958337,0.167404,0.953280,0.874905,0.848017,0.382843,0.376977,0.124312,0.407208,0.116586,0.454975,0.125936,199.391,12.454
163,0.689842,0.959622,0.165776,0.952708,0.875286,0.847445,0.391277,0.385157,0.125180,0.417854,0.117298,0.461105,0.122644,165.475,12.454
164,0.660170,0.962742,0.167913,0.953852,0.876621,0.848017,0.383934,0.381564,0.125466,0.411349,0.116760,0.452821,0.123697,173.081,12.454
165,0.683682,0.960264,0.167515,0.952517,0.877002,0.848398,0.388932,0.386742,0.126387,0.416338,0.118799,0.451317,0.123788,218.296,12.454
166,0.684369,0.959805,0.166606,0.953280,0.877193,0.849161,0.389338,0.376791,0.125818,0.412789,0.119265,0.447515,0.122903,204.056,12.454
167,0.686715,0.958429,0.166561,0.954043,0.873760,0.848589,0.385423,0.380488,0.124383,0.411368,0.117693,0.454459,0.124802,217.295,12.454
168,0.672287,0.959714,0.165319,0.954233,0.872616,0.847826,0.387611,0.384861,0.121044,0.413386,0.115118,0.449415,0.120185,202.303,12.454
169,0.673831,0.960081,0.164272,0.954043,0.875095,0.848589,0.392772,0.388861,0.123193,0.417001,0.117654,0.451669,0.119940,156.837,12.454
170,0.677649,0.961457,0.168174,0.951945,0.876049,0.848970,0.379834,0.380763,0.121846,0.406245,0.116694,0.444623,0.122821,155.659,12.454
171,0.666004,0.961549,0.167544,0.952517,0.876240,0.851259,0.381720,0.381950,0.124486,0.408507,0.118354,0.446736,0.123626,159.623,12.454
172,0.677439,0.960356,0.167187,0.953471,0.876812,0.849924,0.384318,0.386618,0.124135,0.413224,0.117469,0.453638,0.122182,157.347,12.454
173,0.683894,0.959714,0.166985,0.952708,0.877193,0.848589,0.389817,0.389014,0.125317,0.417786,0.117880,0.457382,0.122908,187.108,12.454
174,0.670042,0.960815,0.166109,0.954043,0.877002,0.848780,0.386129,0.383107,0.124312,0.413333,0.116418,0.455468,0.123439,190.148,12.454
175,0.662880,0.961641,0.170479,0.952708,0.875858,0.851068,0.372694,0.369273,0.124708,0.399029,0.117141,0.439615,0.123521,187.704,12.454
176,0.665694,0.962467,0.169566,0.952136,0.876240,0.850877,0.377420,0.372974,0.126406,0.404251,0.119053,0.438601,0.123839,183.312,12.454
177,0.670761,0.961733,0.169132,0.953852,0.876430,0.851068,0.376284,0.373798,0.125158,0.404412,0.117151,0.441443,0.123273,188.338,12.454
178,0.677294,0.959438,0.168177,0.953280,0.873379,0.849352,0.381292,0.379649,0.124364,0.408567,0.117381,0.448094,0.123571,187.157,12.454
